language_code,word,pinyin,meaning_en,frequency_rank,source_freq,source_dict
fr,de,,of,1,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,je,,i,2,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,est,,is,3,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,pas,,not,4,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,le,,the,5,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,que,,that,6,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,la,,the,7,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,vous,,you,8,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,tu,,you,9,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,un,,a,10,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,c',,it's,11,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,à,,has,12,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,et,,and,13,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,il,,he,14,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,a,,has,15,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,l',,l',16,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,ne,,born,17,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,les,,the,18,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,j',,i,19,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,en,,in,20,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,on,,we,21,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,ça,,that,22,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,une,,a,23,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,d',,of,24,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,ce,,this,25,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,qu',,that,26,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,pour,,for,27,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,ai,,ai,28,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,n',,n',29,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,des,,some,30,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,qui,,who,31,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,mais,,but,32,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,dans,,in,33,hermitdave-frequencywords-fr-50k,google-translate-gtx
fr,nous,,we,34,hermitdave-frequencywords-fr-50k,google-translate-gtx
